,wine name,winery,wine year,wine rating,wine price,wine region,wine country,grape information,wine acidity,wine intensity,wine sweetness,wine tannin,wine description
0,Fruitscato Watermelon,Barefoot,N.V.,4.0,5.99,California,United States,,,,,,
1,Sweet Walter Red,Bully Hill,N.V.,3.7,8.99,New York,United States,,,,,,
2,Sweet Walter White,Bully Hill,N.V.,4.0,8.99,New York,United States,,,,,,
3,Harvest Select Sweet Riesling,Chateau Ste. Michelle,2017,4.0,9.95,Columbia Valley,United States,Riesling,2.8992894000000002,2.511005,3.6412497000000004,,
4,Harvest Select Sweet Riesling,Chateau Ste. Michelle,2018,3.9,9.99,Columbia Valley,United States,Riesling,2.8992894000000002,2.511005,3.6412497000000004,,
5,Riesling,Schlink Haus,2018,3.9,10.99,Nahe,Germany,Riesling,3.8584782999999994,2.6215217,1.9193479,,"Riesling is without question Germany's favorite grape. Widely planted, though once derided, Riesling is the superstar of the white wine world at the moment.

There is a lot of scope for versatility with this sweet, viscous wine, though you can expect to get hints of tropical fruit, nectarine, melon and pineapple from a solid Riesling.

The grape originated in the Rhine region of Germany, and the best of them are said to grow along the banks of the Mosel River on the beautiful steep, south facing hills.

There are six categories of Riesling which indicate the ripeness of the grapes. Kabinett is considered “off-dry” and is a typically ripe grape. Spätlese is riper and therefor sweeter, and Auslese is even riper still. Beyond on that you have Beerenauslese, Trockenbeerenauslese and Eiswein (or ice wine), all getting sweeter, more viscous and more expensive.

It's a favorite in the food and beverage industry because of its willingness to play with a wide variety of foods, particular spicy dishes. The current Asian fusion boom is thought to have had a tremendous effect on Riesling's popularity."
6,Sweet Riesling,Pacific Rim,2019,4.3,10.99,Columbia Valley,United States,Riesling,3.0807824,2.6970433999999996,3.5267824999999995,,
7,Moscato,Voga,2018,3.9,11.99,Provincia di Pavia,Italy,Arneis,2.6386363999999998,2.9377272,3.7789395,,"Often better known for red varieties, Northern Italy has a number of delicious and drinkable white wines. To know Northern Italian wines is to know the influences of the wines of the countries that border Italy.

Old World wines tend to be far less about fruit-forward  flavors, and more about the effect that the climate, soil, and adjacently growing flora (terroir) have on the grapes during their growth.

The most widely recognizable varietal is Pinot Grigio which is very rustic, medium-bodied, with medium to high acidity. Chardonnay seems to grow anywhere grapes can grow; although Italian varieties are not normally coveted quality.

Gewürztraminer usually makes us think of Germany, but it's also thriving in Northern Italy. The warmer climate imparts a little less sugar and little more acidity than its German cousin.

Then there is Moscato. From the northwest Piedmont region, this wine is sweet and very popular in North America, and comes in both still and sparkling varieties.

Whatever your choice, taking a tour of Italian white wines is an enjoyable experience that you will be thankful you took."
8,Banty Red,Bully Hill,N.V.,3.7,11.99,Finger Lakes,United States,,,,,,
9,Sweet Cherry,Door Peninsula Winery,N.V.,3.7,12.95,Wisconsin,United States,,,,,,
