,wine name,winery,wine year,wine rating,wine price,wine region,wine country,grape information,wine acidity,wine intensity,wine sweetness,wine tannin,wine description
0,Colheita Port (Single Year Tawny),Smith Woodhouse,2000,4.2,55.99,Porto,Portugal,Touriga Nacional,,,,,
1,Colheita Malmsey Madeira (Single Harvest),Blandy's,1999,4.2,57.2,Malmsey Madeira,Portugal,Verdelho,3.9591415,4.6382017,4.667680000000001,,
2,Quinta do Panascal Vintage Port,Fonseca,2005,4.2,57.99,Porto,Portugal,Touriga Nacional,,,,,
3,Vintage Port,Quinta do Vesuvio,2012,4.2,59.95,Porto,Portugal,Touriga Nacional,,,,,
4,Vintage Port,Kopke,2005,4.3,59.99,Porto,Portugal,Touriga Nacional,,,,,
5,Colheita Porto,Quinta do Crasto,1997,4.4,60.0,Porto,Portugal,Touriga Nacional,,,,,
6,Iteration Cabernet Sauvignon,Schweiger Vineyards,N.V.,4.1,60.0,Spring Mountain District,United States,,,,,,
7,Quinta do Bomfim Vintage Port,Dow's,2006,4.2,62.99,Porto,Portugal,Touriga Nacional,,,,,
8,Quinta de Vargellas Vintage Port,Taylor's,2005,4.3,64.76,Porto,Portugal,Touriga Nacional,,,,,
9,Vintage Porto,Ramos Pinto,2007,4.0,64.95,Porto,Portugal,Touriga Nacional,,,,,
10,Vintage Porto,Ramos Pinto,2004,4.2,64.95,Porto,Portugal,Touriga Nacional,,,,,
11,Vintage Porto,Ramos Pinto,1995,4.4,64.95,Porto,Portugal,Touriga Nacional,,,,,
12,Vintage Port,Ferreira,1994,4.6,64.99,Porto,Portugal,Touriga Nacional,,,,,
13,Quinta Senhora da Ribeira Vintage Port,Dow's,2015,4.2,64.99,Porto,Portugal,Touriga Nacional,,,,,
14,Vintage Port,Quinta do Vesuvio,2001,4.1,66.99,Porto,Portugal,Touriga Nacional,,,,,
15,Quinta dos Malvedos Vintage Port,W. & J. Graham's,2005,4.2,67.99,Porto,Portugal,Touriga Nacional,,,,,
16,Quinta Senhora da Ribeira Vintage Port,Dow's,2009,4.2,68.99,Porto,Portugal,Touriga Nacional,,,,,
17,Vintage Port,Maynard's,2016,4.3,68.99,Porto,Portugal,Touriga Nacional,,,,,
18,Vintage Porto,Ramos Pinto,2003,3.9,69.95,Porto,Portugal,Touriga Nacional,,,,,
19,Quinta do Seixo Vintage Port,Sandeman,2017,4.8,70.99,Porto,Portugal,Touriga Nacional,,,,,
20,Madeira Colheita,Broadbent,1996,4.2,70.99,Madeira,Portugal,Verdelho,3.9563403,4.7735567,5.0,,
21,Vintage Port,Warre's,2011,4.3,71.95,Porto,Portugal,Touriga Nacional,,,,,
22,Boal Madeira Colheita Harvest,H. M. Borges,1995,4.1,73.99,Madeira,Portugal,Verdelho,3.8516328,4.591837,4.591837,,
23,Vintage Port,Quinta do Noval,2012,4.1,73.99,Porto,Portugal,Touriga Nacional,,,,,
24,Vintage Port,Quinta do Vesuvio,2003,4.3,74.99,Porto,Portugal,Touriga Nacional,,,,,
25,Vintage Port,Croft,2009,3.9,74.99,Porto,Portugal,Touriga Nacional,,,,,
26,Vintage Port,Quinta do Vale Meão,2013,4.3,74.99,Porto,Portugal,Touriga Nacional,,,,,
27,Vintage Port,Warre's,2003,4.1,75.56,Porto,Portugal,Touriga Nacional,,,,,
28,Quinta Senhora da Ribeira Vintage Port,Dow's,2013,4.2,76.99,Porto,Portugal,Touriga Nacional,,,,,
29,Vintage Port,Quinta do Vesuvio,2017,4.3,79.99,Porto,Portugal,Touriga Nacional,,,,,
30,Vintage Port,Quinta do Vesuvio,2015,4.3,79.99,Porto,Portugal,Touriga Nacional,,,,,
31,Vintage Port,Quinta do Noval,2016,4.4,79.99,Porto,Portugal,Touriga Nacional,,,,,
32,Vintage Port,W. & J. Graham's,2000,4.4,79.99,Porto,Portugal,Touriga Nacional,,,,,
