,wine name,winery,wine year,wine rating,wine price,wine region,wine country,grape information,wine acidity,wine intensity,wine sweetness,wine tannin,wine description
0,Zinfandel White,Canyon Road,2018,3.4,10.0,California,United States,,,,,,
1,Rosé,Ménage à Trois,2018,3.5,10.49,California,United States,,,,,,
2,Rosé,Hess Select,2019,3.8,10.95,California,United States,,,,,,
3,Rosé of Malbec,Crios,2019,3.7,10.95,Lujan de Cuyo,Argentina,,,,,,
4,Rosé,Chateau Ste. Michelle,2018,3.6,10.95,Yakima Valley,United States,,,,,,
5,White Zinfandel,Coastal Ridge Winery,2018,4.2,10.99,California,United States,,,,,,
6,Tempranillo Rosé,Mesta,2015,3.5,10.99,Uclés,Spain,,,,,,
7,Rioja Rosado,Tobia,2016,3.7,10.99,Rioja,Spain,,,,,,
8,Infinito Rosé,Santi,2019,3.7,10.99,Bardolino Chiaretto,Italy,,,,,,
9,Ercavio Rosado,Más Que Vinos,2019,3.2,10.99,Castilla,Spain,,,,,,
10,Rosé,Dark Horse,2017,3.3,10.99,California,United States,,,,,,
11,Rosé,L'Ostal Cazes,2019,3.8,10.99,Pays d'Oc,France,Shiraz/Syrah,3.6247516,2.8526025,1.3294028999999998,,
12,Réserve Côtes du Rhône Rosé,Famille Perrin,2018,3.7,10.99,Côtes-du-Rhône,France,Shiraz/Syrah,3.2951055,3.3528241999999997,1.6985964,,
13,Grain de Gris,Listel,2018,3.6,10.99,Sable de Camargue,France,Shiraz/Syrah,3.5696714,2.9626129,1.4068118,,
14,Rosé,Cupcake,2017,3.2,10.99,California,United States,,,,,,
15,Rosé,Mont Gravet,2019,3.8,10.99,Pays d'Oc,France,Shiraz/Syrah,3.630412,3.0519867,1.4050673,,
16,Rosé,Bogle,2019,3.3,10.99,California,United States,,,,,,
17,Band of Roses Rosé,Charles Smith,2019,3.6,10.99,Washington,United States,,,,,,
18,The Y Series Sangiovese Rosé,Yalumba,2017,3.6,10.99,South Australia,Australia,,,,,,
19,Rosé,Prophecy,2018,3.4,10.99,Vin de France,France,,,,,,
20,Band of Roses Rosé,Charles Smith,2018,3.6,10.99,Washington,United States,,,,,,
21,Rosé,Sunseeker,2018,3.5,10.99,California,United States,,,,,,
22,Rosé,Chateau Ste. Michelle,2019,3.8,10.99,Yakima Valley,United States,,,,,,
23,Rosé (Limited Release),Apothic,2017,3.5,10.99,California,United States,,,,,,
24,Rosé,VillaViva,2019,3.7,11.0,Côtes de Thau,France,Shiraz/Syrah,3.6279510999999998,2.8636339,1.2182087,,
25,Rosé,Mariella,2018,3.8,11.19,Península de Setúbal,Portugal,,,,,,
26,Blanc de Noir Merlot,Lynx,2019,4.1,11.390833333333333,Franschhoek,South Africa,,,,,,
27,Muse Rosé,Domaine de Montine,2018,4.0,11.89,Drôme,France,,,,,,
28,Costières-de-Nîmes Rosé (Tradition de Campuget),Château de Campuget,2019,3.9,11.95,Costières-de-Nîmes,France,Shiraz/Syrah,3.3391629999999997,3.4419034,1.7733427,,
29,Rosé (of Pinot Noir),Layer Cake,2017,2.9,11.95,Central Coast,United States,,,,,,
30,Beaujolais Nouveau Rosé,Georges Duboeuf,2019,3.3,11.95,Beaujolais Nouveau,France,,,,,,
31,Lago Cerqueira Rosé,Salvador,2019,4.0,11.95,Vinho Verde,Portugal,,,,,,
32,Rosé,14 Hands,2017,3.5,11.99,Columbia Valley,United States,,,,,,
33,Moulin de Gassac Guilhem Rosé,Mas de Daumas Gassac,2019,3.5,11.99,Hérault,France,Shiraz/Syrah,3.6554263,2.9998581000000004,1.3183995000000002,,
34,Centine Rosé,Banfi,2014,3.6,11.99,Toscana,Italy,,,,,,
35,Rosé,Cape Mentelle,2018,3.8,11.99,Margaret River,Australia,,,,,,
36,Rosado,El Coto,2018,3.3,11.99,Rioja,Spain,,,,,,
37,Grain de Gris,Listel,2019,3.4,11.99,Sable de Camargue,France,Shiraz/Syrah,3.5696714,2.9626129,1.4068118,,
38,Rosé (Cuvée Sabine),Bieler Père et Fils,2019,3.9,11.99,Coteaux d'Aix-en-Provence,France,Shiraz/Syrah,4.0322046,2.4873877,1.3242843999999998,,"No summer afternoon is complete without a little bit of the pale pink/orange wines from Provence.

These light and crisp roses have just the slightest touches of bright berry flavors and can complement a meal perfectly or be delightful on their own.

The dry, refreshing, pink wines of Provence may not be complicated or heady, but they are certainly lovely. These brightly flavored, yet pale colored wines are full of crisp acidity with light touches of tart red berries and citrus fruit.

These wines may not be serious, but you can't drink serious wines all of the time! Current trends are making these wines ridiculously popular, and for good reason.

They are the perfect summer wine and can make any light afternoon meal even better with their liveliness and pretty fruit. These are much lighter than most California roses, but are typically much fresher and sharper."
39,Rosado,Sierra Cantabria,2017,3.7,11.99,Rioja,Spain,,,,,,
