,wine name,winery,wine year,wine rating,wine price,wine region,wine country,grape information,wine acidity,wine intensity,wine sweetness,wine tannin,wine description
0,Governor's Cuvée Stanford Brut Champagne,Weibel Family,N.V.,3.0,5.99,California,United States,Chardonnay,2.9239216,3.7035296000000004,,,"The elegance of sparkling wine suits Northern California's wine region. While California isn't exactly famous for its bubbles, there are some fabulous bottles on offer.

These wines are known to be crisp, dry and extremely mousse-y. With wonderful fizz, fantastic citrus, orchard and brioche notes, Californian sparkling wine provides a great alternative to overpriced Champagne.

Sparkling wine production in California started in 1892 with the Korbel Brothers in Sonoma County. They began producing what's regarded as the first quality sparkling wine in America using the méthode champenoise (the process of having secondary fermentation inside the bottle, thus creating the bubbles).

Most Champagne and sparkling wine is made with Pinot Noir or Chardonnay grapes, two varietals that grow in abundance in California.

Some of the finest sparkling wines in California come from Mendocino County, specifically in the Anderson Valley. Some of the big names are Scharffenberger, Roederer and Schramsberg.

For pairing with Californian sparkling wine you should look towards seafood. A nice charred squid or some scallops would go wonderfully, and you could even work something a little spicier in there."
1,Cava Gran Brut Rosé,Campo Viejo,N.V.,3.6,7.95,Cava,Spain,Xarel-lo,3.6407201000000002,2.9330041000000002,,,
2,Verdi Raspberry Sparkletini Spumante,Bosca,N.V.,3.6,7.95,,,,,,,,
3,Verdi Peach Sparkletini,Bosca,N.V.,3.7,7.95,Asti,Italy,,,,,,
4,Cava Gran Brut Reserva,Campo Viejo,N.V.,3.6,7.95,Cava,Spain,Xarel-lo,3.4933872000000004,2.9536517000000004,,,
5,Reserve Cuvée Brut Champagne,Tott's,N.V.,2.7,7.99,California,United States,Chardonnay,3.0,4.02,,,"The elegance of sparkling wine suits Northern California's wine region. While California isn't exactly famous for its bubbles, there are some fabulous bottles on offer.

These wines are known to be crisp, dry and extremely mousse-y. With wonderful fizz, fantastic citrus, orchard and brioche notes, Californian sparkling wine provides a great alternative to overpriced Champagne.

Sparkling wine production in California started in 1892 with the Korbel Brothers in Sonoma County. They began producing what's regarded as the first quality sparkling wine in America using the méthode champenoise (the process of having secondary fermentation inside the bottle, thus creating the bubbles).

Most Champagne and sparkling wine is made with Pinot Noir or Chardonnay grapes, two varietals that grow in abundance in California.

Some of the finest sparkling wines in California come from Mendocino County, specifically in the Anderson Valley. Some of the big names are Scharffenberger, Roederer and Schramsberg.

For pairing with Californian sparkling wine you should look towards seafood. A nice charred squid or some scallops would go wonderfully, and you could even work something a little spicier in there."
6,Rosé Sec (Brut),Pol Clément,N.V.,3.7,8.95,Vin de France,France,,,,,,
7,Brut (Blanc de Blancs),Pol Clément,N.V.,3.4,8.95,Vin de France,France,,,,,,
8,Sparkling Rosé,JP. Chenet,N.V.,3.6,8.99,Languedoc-Roussillon,France,,,,,,
9,Original Blanc de Blancs Brut,JP. Chenet,N.V.,3.4,8.99,Vin de France,France,,,,,,
10,Cava Brut,Torre Oria,N.V.,3.4,8.99,Cava,Spain,Xarel-lo,3.4584803999999996,2.9897373,,,
11,Numero 1 Spumante Extra Dry,Valdo,N.V.,3.5,9.99,Veneto,Italy,,,,,,
12,Bubbly Pink Moscato,Allure,N.V.,3.7,9.99,California,United States,Chardonnay,3.0242999,3.9922,,,"The elegance of sparkling wine suits Northern California's wine region. While California isn't exactly famous for its bubbles, there are some fabulous bottles on offer.

These wines are known to be crisp, dry and extremely mousse-y. With wonderful fizz, fantastic citrus, orchard and brioche notes, Californian sparkling wine provides a great alternative to overpriced Champagne.

Sparkling wine production in California started in 1892 with the Korbel Brothers in Sonoma County. They began producing what's regarded as the first quality sparkling wine in America using the méthode champenoise (the process of having secondary fermentation inside the bottle, thus creating the bubbles).

Most Champagne and sparkling wine is made with Pinot Noir or Chardonnay grapes, two varietals that grow in abundance in California.

Some of the finest sparkling wines in California come from Mendocino County, specifically in the Anderson Valley. Some of the big names are Scharffenberger, Roederer and Schramsberg.

For pairing with Californian sparkling wine you should look towards seafood. A nice charred squid or some scallops would go wonderfully, and you could even work something a little spicier in there."
13,Floral Spumante Brut Rosé,Valdo,N.V.,3.6,9.99,Veneto,Italy,,,,,,
14,Cava Brut,Casa Dora,N.V.,3.4,9.99,Penedès,Spain,Xarel-lo,3.533871,2.959355,,,
